ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"192.252.215.5","elite","AS46562","US","Performive LLC","185","Performive LLC","16137","socks4","519","1","2023-09-26T03:04:33.783Z","98","3905","3969"
"185.89.156.130","elite","AS198279","AL","ATU","79","N/A","5678","socks4","242","1","2023-09-26T03:04:22.280Z","99","4003","4025"
"186.251.248.15","elite","AS267513","BR","Seanet Telecom Carazinho Eireli","298","Seanet Telecom Carazinho Eireli","31337","socks4","4902","1","2023-09-26T03:04:22.280Z","99","3981","4004"
"51.91.21.129","elite","AS16276","FR","OVH SAS","96","OVH","29119","socks5","4912","1","2023-09-26T03:04:22.379Z","100","4057","4057"
"103.38.205.17","elite","AS45916","IN","gtpl hariom world vision","134","Gtpl Broadband Pvt. Ltd.","5678","socks4","3904","1","2023-09-26T03:04:22.283Z","100","4092","4108"
"83.234.147.166","elite","AS20485","RU","TRANS-TELECOM","49","LLC Internet Service Russia","6363","socks4","5095","1","2023-09-26T03:04:22.284Z","96","3845","3999"
"165.225.8.100","elite","AS22616","US","ZSCALER, INC.","79","Zscaler, Inc","10605","socks4","4807","1","2023-09-26T03:04:22.284Z","97","4014","4124"
"154.72.85.214","elite","AS30844","TZ","Liquid Telecommunications Ltd","131","RAHA Ltd","4145","socks4","4809","1","2023-09-26T03:04:10.587Z","97","3865","3988"
"110.77.161.197","elite","AS131090","TH","CAT-BB","181","N/A","4145","socks4","5000","1","2023-09-26T03:04:10.588Z","78","3103","4001"
"41.216.175.214","elite","AS37088","NG","VDT COMMUNICATIONS LIMITED","118","VDT Ikota LAN Ether","4673","socks4","4191","83","2023-09-26T03:04:10.591Z","99","3949","3999"
"14.207.206.27","elite","AS45629","TH","Triple T Broadband Public Company Limited","188","Triple T Broadband Public Company Limited","5678","socks4","4703","1","2023-09-26T03:04:10.592Z","94","3765","4021"
"119.18.152.30","elite","AS55685","ID","PT. Jala Lintas Media","181","N/A","8080","socks4","5006","1","2023-09-26T03:04:10.586Z","99","4049","4089"
"187.85.154.1","elite","AS53062","BR","Ggnet Telecom Backbone","208","Ggnet Telecom Backbone","5678","socks4","4898","1","2023-09-26T03:03:59.084Z","99","4011","4065"
"31.43.179.160","elite","AS209242","KZ","Cloudflare London, LLC","11","\"Betting company PM Bet\" LLC","80","socks4","2392","84","2023-09-26T03:03:59.081Z","100","3962","3962"
"193.8.87.85","elite","AS197698","CZ","D-H-T SYSTEMS s.r.o.","28","D-H-T SYSTEMS s.r.o","4444","socks4","4298","1","2023-09-26T03:03:59.083Z","100","4001","4010"
"197.234.13.75","elite","AS36902","SC","Intelvision","197","Intelvision Ltd","4145","socks4","5000","1","2023-09-26T03:03:59.080Z","100","3990","4002"
"195.209.188.101","elite","AS49505","RU","OOO \"Network of data-centers \"Selectel\"","91","Qwarta LLC","58543","socks4","4890","1","2023-09-26T03:03:59.176Z","100","4064","4067"
"38.127.179.26","elite","AS174","US","Cogent Communications","78","Torlandia Trading SRL","42908","socks4","5095","1","2023-09-26T03:03:59.083Z","100","4042","4050"
"172.105.156.59","elite","AS63949","US","Akamai Technologies, Inc.","97","Linode","63949","socks4","5008","83","2023-09-26T03:03:46.491Z","100","3968","3968"
"45.8.107.79","elite","AS209242","DE","Cloudflare London, LLC","11","Araxio Development N.V","80","socks4","4896","1","2023-09-26T03:03:46.488Z","100","4011","4012"
"51.79.166.151","elite","AS16276","SG","OVH SAS","162","OVH Singapore PTE. LTD","10084","socks4","2599","1","2023-09-26T03:03:46.489Z","99","4017","4041"
"45.7.177.10","elite","AS266626","BR","Litoral Telecom","199","Litoral Telecom","52246","socks4","5101","1","2023-09-26T03:03:46.489Z","99","4036","4078"
"172.67.181.234","elite","AS13335","CA","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks4","5091","84","2023-09-26T03:03:46.485Z","100","3973","3973"
"43.128.51.21","elite","AS132203","HK","Aceville Pte.ltd","240","N/A","8765","socks5","4503","1","2023-09-26T03:03:46.488Z","100","4048","4063"
"152.70.246.185","elite","AS31898","KR","Oracle Corporation","299","Oracle Cloud Infrastructure (ap-seoul-1)","31898","socks5","4905","1","2023-09-26T03:03:46.490Z","99","4039","4083"
"172.87.152.122","elite","AS11427","US","Spectrum","119","Laredo Executive INN","39593","socks4","5098","1","2023-09-26T03:03:34.778Z","99","4046","4071"
"183.89.176.18","elite","AS45629","TH","Triple T Broadband Public Company Limited","192","Triple T Broadband Public Company Limited","4153","socks4","5385","1","2023-09-26T03:03:34.776Z","98","3957","4040"
"178.128.92.83","elite","AS14061","SG","DigitalOcean, LLC","171","Digitalocean","20241","socks4","4983","1","2023-09-26T03:03:34.779Z","100","3981","3989"
